,topicTitle,commentID,datePost,content,links,img_link,blockquote,nbPostTopic,nbViewsTopic,topicId,datePostTopic,lastUpdateTopic,Year
0,Quel couple préférez-vous dans Red Queen ?,p18443555,2016-09-07,"Bonjour tout le monde !Si vous êtes comme moi fan de Red Queen, vous vous êtes surement arraché les cheveux devant ce triangle, voir quatuor amoureux.    J'ai donc voulu créer ce sondage pour voir quel couple vous préfériez. J'ai déjà ma petite idée, je suis quasiment sûre que tout le monde préfère Cal/Mare...    Pour ma part, je ne supporte pas Cal, il m’exaspère au plus haut point     Je suis team Maven/Mare... et je crois que je suis la seule !     Et oui, je ne désespère pas qu'il soit amoureux de Mare et qu'il revienne à la raison... Et si Maven ne s'améliore pas, je suis team Kilorn/Mare (mais, dans le sondage, j'ai quand même voté pour Maven).En tout cas, le débat est lancé (sans spoil s'il vous plait, pour ceux et celles qui n'ont pas encore lu le T2), n'hésitez pas à venir débattre de votre couple favori !~MissA~",[],"['./images/smilies/icon_mrgreen.gif', './images/smilies/icon_lol.gif', './images/smilies/icon_lol.gif', './images/smilies/icon_lol.gif', './images/smilies/icon_redface.gif', './images/smilies/icon_redface.gif']",[],24,24,249255,2016-09-07,2022-01-01,2016
1,Quel couple préférez-vous dans Red Queen ?,p18443935,2016-09-07,"Tu n'es pas toute seule, je suis dans la team Maven-Mare moi aussi!  Je trouve qu'il y avait une belle chimie entre eux, alors qu'on ne sent aucune émotion entre Cal et Mare. Par contre, je ne crois pas que Mare et Maven vont revenir ensemble. Mare ne ferait certainement pas la même erreur deux fois. Ce coup de théâtre m'a absolument indignée parce que ça signifiait la fin de mon couple préféré.  J'ai été tellement déçue, que je ne suis pas certaine d'avoir envie de lire la suite...",[],"['./images/smilies/icon_e_biggrin.gif', './images/smilies/icon_e_sad.gif']",[],24,24,249255,2016-09-07,2022-01-01,2016
2,Quel couple préférez-vous dans Red Queen ?,p18444005,2016-09-07,"Pour ma part, c'est également le couple Mare/Maven qui m'a le plus séduite    J'ai trouvé qu'entre Cal et Mare, c'était bien moins fusionnel et je trouve ce type franchement insupportable. Kilorn/ Mare...c'est bien simple, je n'y ai pas pensé du tout ! J'ai trouvé que ces deux-là avait une belle relation amicale (chacun veut protéger l'autre).Bien que la fin m'a complétement horrifiée, j'ai quand même envie de voir ce que donnera la suite...même si j'ai un peu peur niveau couple  ",[],"['./images/smilies/icon_e_biggrin.gif', './images/smilies/icon_e_confused.gif']",[],24,24,249255,2016-09-07,2022-01-01,2016
3,Quel couple préférez-vous dans Red Queen ?,p18446735,2016-09-08,"BLOCKQUOTEJe crois qu'on a tous eu la même réaction... Victoria Aveyard nous a bien mené en bateau   Pour en revenir au couple, je suis surprise de voir qu'il y a quand même des gens qui sont pour Maven/Mare.. Comme vous 2, je les trouvais vraiment bien assorti, très touchant. Cal n'est qu'une grosse brute qui ne pensent qu'a se battre et je ne vois pas pourquoi Mare s'est laissée séduire par lui.. Quant au couple Kilorn/Mare, je pense que s'est possible si ils arrêtaient de se chamailler tout le temps   Dans le sondage, Cal nous rattrape ahhhh    ",[],"['./images/smilies/icon_e_sad.gif', './images/smilies/icon_e_surprised.gif', './images/smilies/icon_lol.gif', './images/smilies/icon_evil.gif', './images/smilies/icon_lol.gif']","[""LizzieB a écrit\xa0:Ce coup de théâtre m'a absolument indignée parce que ça signifiait la fin de mon couple préféré.  ""]",24,24,249255,2016-09-07,2022-01-01,2016
4,Quel couple préférez-vous dans Red Queen ?,p18447085,2016-09-08,"Personnellement, j'ai horreur de Cal. Il est prétentieux et brutal et je ne pense pas qu'il va beaucoup changer dans la suite. Sinon, pendant tout le livre, j'étais pour Maven/Mare et j'en ai presque pleurer quand j'ai lu sa trahison. Mais bon, je ne pense pas que Maven reviendra sur son choix et que donc, un couple entre eux ne pourra pas être (ré)installé.Dommage mais après, c'est à voir...",[],[],[],24,24,249255,2016-09-07,2022-01-01,2016
5,Quel couple préférez-vous dans Red Queen ?,p18451195,2016-09-09,"Vraiment je suis hyper surprise !!! Je suis super contente de voir que je suis pas seule à être pro Maven et anti Cal    Je pensais vraiment être seul   Et personne pour Kilorn ? Je les trouve tout mignon avec Mare...Par contre je regrette que les personnes qui ont voté pour Cal ne donne pas leur avis.. Pour l'instant, celles qui ont parlé n'aime pas Cal mais personne ne vient ouvrir le débat ou au moins le défendre  ",[],"['./images/smilies/icon_lol.gif', './images/smilies/icon_e_biggrin.gif', './images/smilies/icon_rolleyes.gif']",[],24,24,249255,2016-09-07,2022-01-01,2016
6,Quel couple préférez-vous dans Red Queen ?,p18451265,2016-09-09,"Perso j'ai tout de suite accroché au personnage de Cal  . J'avoue avoir une forte tendance à préférer les ""mauvais garçons"" mais je pense -j'espère- qu'il va davantage se livrer par la suite. En revanche, je n'ai pas du tout réussi à apprécier Maven, un mauvais pré-sentiment sans doute  .",[],"['./images/smilies/icon_e_biggrin.gif', './images/smilies/icon_rolleyes.gif']",[],24,24,249255,2016-09-07,2022-01-01,2016
7,Quel couple préférez-vous dans Red Queen ?,p18451985,2016-09-09,"Pour ma part, je trouvais le comportement de Maven assez louche, je ne m'attendais pas du tout à ce genre de comportement au début du roman et je ne me suis donc pas laisser prendre par leur relation même si leur couple était assez complémentaire pour le coup. Pour ce qui est de Cal, je comprends l'attirance que Mare éprouve pour lui même si je trouve qu'elle est faite pour Kilorn et justement j'aime beaucoup cette dernière relation qui suit un peu le schéma ""je t'aime - moi non plus"", je les trouve trop mignon à se chercher surtout au tout début du roman, avant que Mare rencontre Cal. Sans les chamailleries, ce couple ne me plairait pas autant mais il est de loin mon préféré ! ",[],['./images/smilies/icon_e_biggrin.gif'],[],24,24,249255,2016-09-07,2022-01-01,2016
8,Quel couple préférez-vous dans Red Queen ?,p18806955,2017-01-06,"Coucou,Voyant que personne ne défendait Cal, je me suis sentie obligée d'intervenir   J'ai eu de la misère à aimer Maven durant le tome 1 parce que Cal est telllllllllllllllllement gentil au départ et que j'avais réellement de la misère à croire que Maven était sincère. Pourtant, je dois vous avouer que vers la fin du tome 1, j'étais séduite par Maven (alors la claque je me suis prise à la fin, haha!) et je trouvais Cal distant et presque antipathique. Mais enfin, tout change dans le deuxième tome ! Je me demande comment vous pouvez continuer de voter pour Maven ! Cal est gentil, attentionné, il protège Mare, l'aide à se contrôler et (surtout) n'a pas peur de lui dire ses quatre vérités lorsqu'elle en a de besoin parce que (et cela reste entre nous) Mare m'a énervée à plusieurs reprises durant ce deuxième tome. Kilorn est adorable, bien qu'il ait murit dans le deuxième tome, mais je le vois plutôt comme le frère de Mare que comme son copain. Je dois dire que c'est probablement mon personnage favori, même si mon couple favori restera toujours Mare/Cal.Youpi !P.S : Je ne sais pas pour vous mais j'ai vraiment hâte que le troisième tome sorte...",[],['./images/smilies/icon_e_wink.gif'],[],24,24,249255,2016-09-07,2022-01-01,2017
9,Quel couple préférez-vous dans Red Queen ?,p18809895,2017-01-07,Ah un supporter de Cal   On s'est tous pris une grosse claque à la fin du T1 et je comprend tous les pro Maven qui ont été déçu !Mais Cal est.. arggg !Il est gentil avec Mare mais en même il peut la trahir à tout moment.. et il se comporte toujours comme si il était meilleur que tout le monde comme si il savait tout.. ce n'est qu'une brute sans cœur.Je ne désespère pas de voir Maven revenir à la raison *petit smiley qui prit* meme si cest sans doute mal barré   Trooop hâte que le 3 sorte !,[],"['./images/smilies/icon_mrgreen.gif', './images/smilies/icon_cry.gif']",[],24,24,249255,2016-09-07,2022-01-01,2017
10,Quel couple préférez-vous dans Red Queen ?,p18821365,2017-01-10,"MissAnnabeth, As-tu lu le deuxième tome ?     J'avoue que en commencant le deux, j'avais peine à imaginer que Maven était vraiment méchant mais en finissant le deux et en lisant le début du troisième tome (le prologue ou le chapitre 1 ?), je suis rendue à le détester et je n'ai vraiment pas envie qu'il revienne comme avant.  Youpidoudidou ce livre, il est vraiment bon !",[],"['./images/smilies/icon_e_surprised.gif', './images/smilies/icon_e_surprised.gif']",[],24,24,249255,2016-09-07,2022-01-01,2017
