,username,date,title,replies,views,text,Year
0,nposecznick,2016-01-15,Novels with Shadowrun-like setting?,0,74,"I was wondering if any of you could recommend any good books with a similar setting to the Shadowrun RPG?I know they produced novels too, just wanted to see what other mixes of fantasy and cyberpunk folks have read and liked. I know a lot of urban fantasy comes close, but I'm specifically looking for that higher grade of tech that comes with cyberpunk or post-cyberpunk.Thanks.Nick.",2016
1,SFFWorld,2021-10-12,New post - A SPINDLE SPLINTERED by Alix E. Harrow (Fractured Fables #1),6,248,"Alix Harrow is a writer whose work has shown the power of story, I’ve read both of her novels (The Ten Thousand Doors of January and The Once and Future Witches) and that love of story and respect for story are what shines through as a common thread between those two novels. Harrow turns her…Continue reading...",2021
2,KatG,2021-01-28,Authors We've Lost -- Storm Constantine and Anton Strout,6,359,"I meant to get something up on this earlier, but just to let people know:American fantasy author Anton Strout was a casualty of Covid-19 on December 30th, 2020. He was the author of the Simon Canderous series and the Spellmason Chronicles series. He was also well known in fandom for his SFF podcast, The Once and Future Podcast, and had been an editor at Penguin Random House. There is a memorial GoFundMe set up for his family:Author and Podcast Host Anton Strout Has Passed AwayAnton Strout, USA Today best-selling author of the Spellmason Chronicles, and host/curator of the Once and Future Podcast has died suddenly at the age of 50. His passing was announced on the Twitte…www.tor.comAustralian bestselling fantasy author Storm Constantine also left us after a long illness on January 14th, 2021. She was the author of many series, standalone novels and short story collections but was best known for her Wraeththu series and had been often nominated for the British Fantasy Society's Best Novel award. She also edited a number of SFF anthologies and wrote non-fiction books on spirituality. She founded Immanion Press, a small SFF press, in the early oughts. She had two short story collections, Mythotenebrae and Para Mort, come out in the last part of 2020. Author and Publisher Storm Constantine Has Passed AwayStorm Constantine, author of the Wraeththu Chronciles and a book publisher, has passed away at the age of 64. The news was announced Friday on Constantine’s Facebook page, which noted that th…www.tor.comSad news to start off the year. Worth checking out their work if you haven't before.",2021
3,SFFWorld,2020-11-03,New post - THE ONCE AND FUTURE WITCHES by Alix E. Harrow,3,274,"Sisterhood. Women’s rights. Personhood. Witches. Alix Harrow’s second novel, The Once and Future Witches, is a lyrical fantasy novel that shines the lens on the suffragette movement that feels as relevant today as it is compared to the times about which Harrow is writing. Harrow posits fantastical past (1893) where three sisters come together in…Continue reading...",2020
4,Sfinx,2020-07-23,Tips for summer holiday reading?,14,746,"Hey all, Leaving soon for a couple of weeks of sun & sea  - and plenty of time for reading. But no idea yet which books to take with me (except for A Cosmology of Monsters by Shaun Hamill, sounded interesting).So -- admitting to being a tad lazy and having the fullest confidence in you guys -- what do you recommend? I guess some you may know my preferences, but if not: my favourite authors of all time are Fritz Leiber and Gene Wolfe; I've also thoroughly enjoyed the likes of Mark Lawrence, Steven Erikson, Hal Duncan, Joe Abercrombie, Ursuala LeGuin, Mike Carey, Adam Roberts, Richard Morgan, NK Jemisin...Thanks for any input - will let you know if your choice comes along to the beach",2020
5,Westy,2017-12-21,Your Reading Year - 2017,0,204,"While Mark's posting up the Best of 2017 threads, I thought I'd post my favourite reads of 2017, irrespective of publication date. What were yours?From Goodreads, I read 70 books this year (the same as last year) and interestingly my average rating was 3.3 - which has been the same for the last 4 years! Weird but it does show a consistent spread!Anyway, my 5-star ratings (across SF&F) were:Dune by Frank Herbert: A re-read that was a long time coming, and it was as good as what I remembered back in the 90's. The research and background of the ecology alone was impressive, especially given it was written in 1965 - it doesn't feel dated at all. I know some people knock Herbert's writing, but personally I don't find it an issue.The Emperor's Soul by Brandon Sanderson: A short novel that really was a consummate display of writing - it had me hooked from the beginning to the end.Beyond Redemption by Michael Fletcher: I read this after seeing it at the top of a Grimdark poll and it didn't disappoint! A fantastic array of imaginative characters and breath of fresh (or maybe fetid?!) air in the fantasy genre.The Rise and Fall of D.O.D.O. by Neal Stephenson and Nicole Galland: A time travel novel full of ideas meshed together into a fun, roller coaster ride, with some great characters to boot. This is the first Stephenson novel I've finished and I feel maybe the co-author has helped make it a more approachable story!I had plenty of 4 star books; some honourable mentions have to be:Osama by Lavie Tidhar: an alternate-reality novel in which Joe, a private detective, is hired to hunt down the mysterious author of pulp fictions books, featuring the vigilante Osama bin Laden. A very thought-provoking, original novel, and World Fantasy Award winner in 2012.The Core of the Sun by  Johanna Sinisalo: an usual alternate history novel that also delves into chilli addiction and the science behind it, whilst being a satire on social issues - strange and original.Also Godsgrave,  Agents of Dreamland, Borne and Kings of the Wyld, mentioned in the 2017 publication thread.Other 4 (or 3.5 star, rounded up) books:Akata Warrior (Akata Witch, #2) - Okorafor, NnediArm of the Sphinx (The Books of Babel, #2) - Bancroft, JosiahArtemis - Weir, AndyCentral Station - Tidhar, LavieGlimpses - Shiner, LewisHappy Endings: A Short Story Collection - Elliott, WillHome (Binti, #2) - Okorafor, NnediMachine Learning: New and Collected Stories - Howey, HughNeverwhere - Gaiman, NeilPolaris - Brown, TimothySea of Rust - Cargill, C. RobertSix Wakes - Lafferty, MurThe Ion Raider (The Dark Angels Book 2) - Whates, IanThe Martian Chronicles - Bradbury, RayThe Mirror’s Truth (Manifest Delusions, #2) - Fletcher, Michael R.The Ritual of Illusion - Matheson, Richard ChristianThe Stars Are Legion - Hurley, KameronThe Thief of Always - Barker, Clive",2017
6,Vlad1,2014-04-09,Good C'thulhu mythos material?,5,401,"I recently finished Future Lovecraft, which while it had one or two pretty decent stories was pretty bad overall.
The C'thulhu Mythos megapack was pretty decent, the same goes for a lot of Stross' fiction in that universe, but all in all I can't really find more good stuff considering how popular HPL has become around the net.
Recs welcome.",2014
